exp,condition,participant,trialno,aiming_target,rotation_deg,aimingdeviation_deg,arrow_offset,phase
4,aiming,307bc8,30,75,45,-41,15,rotation
4,aiming,307bc8,31,45,45,-35,15,rotation
4,aiming,307bc8,32,135,45,-39,15,rotation
4,aiming,307bc8,33,75,45,-37,15,rotation
4,aiming,307bc8,34,135,45,-44,15,rotation
4,aiming,307bc8,35,105,45,-42,15,rotation
4,aiming,307bc8,36,45,45,-36,15,rotation
4,aiming,307bc8,37,75,45,-39,15,rotation
4,aiming,307bc8,38,105,45,-38,15,rotation
4,aiming,307bc8,39,45,45,-36,15,rotation
4,aiming,307bc8,40,135,45,-36,15,rotation
4,aiming,307bc8,41,45,45,-41,15,rotation
4,aiming,307bc8,42,135,45,-38,15,rotation
4,aiming,307bc8,43,75,45,-37,15,rotation
4,aiming,307bc8,44,105,45,-41,15,rotation
4,aiming,307bc8,45,135,45,-38,15,rotation
4,aiming,307bc8,46,75,45,-40,15,rotation
4,aiming,307bc8,47,45,45,-43,15,rotation
4,aiming,307bc8,48,105,45,-36,15,rotation
4,aiming,307bc8,49,75,45,-34,15,rotation
4,aiming,307bc8,50,135,45,-35,15,rotation
4,aiming,307bc8,51,45,45,-34,15,rotation
4,aiming,307bc8,52,105,45,-36,15,rotation
4,aiming,307bc8,53,45,45,-38,15,rotation
4,aiming,307bc8,54,105,45,-41,15,rotation
4,aiming,307bc8,55,75,45,-37,15,rotation
4,aiming,307bc8,56,135,45,-35,15,rotation
4,aiming,307bc8,57,75,45,-33,15,rotation
4,aiming,307bc8,58,135,45,-37,15,rotation
4,aiming,307bc8,59,105,45,-30,15,rotation
4,aiming,307bc8,60,45,45,-35,15,rotation
4,aiming,307bc8,61,45,45,-32,15,rotation
4,aiming,307bc8,62,105,45,-38,15,rotation
4,aiming,307bc8,63,135,45,-42,15,rotation
4,aiming,307bc8,64,75,45,-36,15,rotation
4,aiming,307bc8,65,45,45,-39,15,rotation
4,aiming,307bc8,66,105,45,-36,15,rotation
4,aiming,307bc8,67,75,45,-38,15,rotation
4,aiming,307bc8,68,135,45,-35,15,rotation
